"yCoord/SemiSpan","Area (m^2)","Max. Thickness (m)","Chord (m)","Leading Edge Radius (1/m)","Max. Thickness/Chord","Twist (deg)","Curvature (1/in)","Dihedral (deg)","Leading Edge XLoc/SemiSpan","Leading Edge ZLoc/SemiSpan","Trailing Edge XLoc/SemiSpan","Trailing Edge ZLoc/SemiSpan"
1.5929e-07, 0.0443805, 0.0784087, 0.805999, 78.156, 0.0972814, 0, 0, 0, 4.74054e-07, 0, 0.661785, 0
0.0273693, 0.043288, 0.0774128, 0.796116, 86.7472, 0.0972381, 0, 0, 0, 0.0158022, 0, 0.669472, 0
0.0547384, 0.0422196, 0.0764671, 0.786233, 85.2342, 0.0972576, 0, 0.0533214, 0, 0.031604, 0, 0.677159, 0
0.0821075, 0.0411647, 0.0755023, 0.775871, 88.691, 0.097313, -0.00437514, 0.106643, 0.101836, 0.0474058, 0, 0.684453, 4.86453e-05
0.109477, 0.0401222, 0.074532, 0.766466, 88.8574, 0.097241, 0, 0.0533214, -0.101836, 0.0632076, 0, 0.692532, 0
0.136846, 0.039094, 0.0735604, 0.756583, 93.1262, 0.0972272, 0, 0, 0, 0.0790094, 0, 0.700219, 0
0.164215, 0.0380789, 0.0726176, 0.7467, 90.7731, 0.0972514, 0, 0, 0, 0.0948111, 0, 0.707906, 0
0.191584, 0.0370772, 0.0716633, 0.736816, 89.1898, 0.0972608, 0, 0.0313669, 0, 0.110613, 0, 0.715593, 0
0.218953, 0.0360878, 0.0706617, 0.726651, 89.8545, 0.0972429, 0.00274806, 0.0627338, -0.0599064, 0.126415, 0, 0.723049, -2.86162e-05
0.246322, 0.0351134, 0.0697402, 0.71705, 94.1503, 0.0972599, 0, 0.0313669, 0.0599064, 0.142216, 0, 0.730967, 0
0.273691, 0.0341516, 0.0687322, 0.707166, 96.9462, 0.0971939, 0, 0, 0, 0.158018, 0, 0.738654, 0
0.30106, 0.0332018, 0.0678107, 0.697283, 94.614, 0.0972499, 0, 0, 0, 0.17382, 0, 0.74634, 0
0.328429, 0.0322669, 0.0668227, 0.6874, 100.28, 0.0972109, 0, 0, 0, 0.189622, 0, 0.754027, 0
0.355798, 0.031349, 0.0658698, 0.677516, 95.3611, 0.0972225, 0, 0, 0, 0.205424, 0, 0.761714, 0
0.383168, 0.0304388, 0.0648868, 0.667633, 97.7765, 0.0971893, 0, 0, 0, 0.221225, 0, 0.769401, 0
0.410537, 0.0295435, 0.0639318, 0.65775, 98.7035, 0.0971977, 0, 0, 0, 0.237027, 0, 0.777088, 0
0.437906, 0.0286621, 0.0630131, 0.647866, 104.187, 0.0972625, 0, 0, 0, 0.252829, 0, 0.784774, 0
0.465275, 0.0277938, 0.0620372, 0.637983, 102.75, 0.0972396, 0, 0.166083, 0, 0.268631, 0, 0.792461, 0
0.492644, 0.0269361, 0.0610663, 0.626609, 104.201, 0.0974553, 0.016874, 0.20931, -0.317198, 0.284432, 0, 0.798924, -0.000151521
0.520013, 0.026098, 0.0601264, 0.617113, 107.604, 0.0974317, 0.0126743, 0.0796314, 0.0825575, 0.300234, 0, 0.806929, -0.000112085
0.547382, 0.0252681, 0.059165, 0.608333, 113.929, 0.0972576, 0, 0.122858, 0.234643, 0.316036, 0, 0.815522, 0
0.574751, 0.0244554, 0.0581936, 0.59845, 106.245, 0.0972407, 0, 0, 0, 0.331838, 0, 0.823209, 0
0.60212, 0.0236516, 0.0572274, 0.588566, 109.722, 0.0972318, 0, 0, 0, 0.34764, 0, 0.830895, 0
0.629489, 0.0228651, 0.0562832, 0.578683, 112.897, 0.0972609, 0, 0, 0, 0.363441, 0, 0.838582, 0
0.656859, 0.0220888, 0.0553114, 0.5688, 117.586, 0.0972423, 0, 0, 0, 0.379243, 0, 0.846269, 0
