Cell ID,Cell Type,Point Index 0,Point Index 1
0,3,103,102
1,3,102,101
2,3,101,100
3,3,100,99
4,3,99,98
5,3,98,97
6,3,97,96
7,3,96,95
8,3,95,94
9,3,94,93
10,3,93,92
11,3,92,91
12,3,91,90
13,3,90,89
14,3,89,88
15,3,88,87
16,3,87,86
17,3,86,85
18,3,85,84
19,3,84,83
20,3,83,82
21,3,82,81
22,3,81,80
23,3,80,79
24,3,79,78
25,3,78,77
26,3,77,76
27,3,76,75
28,3,75,74
29,3,74,73
30,3,73,72
31,3,72,71
32,3,71,70
33,3,70,69
34,3,69,68
35,3,68,67
36,3,67,66
37,3,66,65
38,3,65,64
39,3,64,63
40,3,63,62
41,3,62,61
42,3,61,60
43,3,60,59
44,3,59,58
45,3,58,57
46,3,57,56
47,3,56,55
48,3,55,54
49,3,54,53
50,3,53,52
51,3,52,51
52,3,51,50
53,3,50,49
54,3,49,48
55,3,48,47
56,3,47,46
57,3,46,45
58,3,45,44
59,3,44,43
60,3,43,42
61,3,42,41
62,3,41,40
63,3,40,39
64,3,39,38
65,3,38,37
66,3,37,36
67,3,36,35
68,3,35,34
69,3,34,33
70,3,174,173
71,3,173,172
72,3,172,171
73,3,171,170
74,3,170,169
75,3,169,168
76,3,168,167
77,3,167,166
78,3,166,165
79,3,165,164
80,3,164,163
81,3,163,162
82,3,162,161
83,3,161,160
84,3,160,159
85,3,159,158
86,3,158,157
87,3,157,156
88,3,156,155
89,3,155,154
90,3,154,153
91,3,153,152
92,3,152,151
93,3,151,150
94,3,150,149
95,3,149,148
96,3,148,147
97,3,147,146
98,3,146,145
99,3,145,144
100,3,144,143
101,3,143,142
102,3,142,141
103,3,141,140
104,3,140,139
105,3,139,138
106,3,138,137
107,3,137,136
108,3,136,135
109,3,135,134
110,3,134,133
111,3,133,132
112,3,132,131
113,3,131,130
114,3,130,129
115,3,129,128
116,3,128,127
117,3,127,126
118,3,126,125
119,3,125,124
120,3,124,123
121,3,123,122
122,3,122,121
123,3,121,120
124,3,120,119
125,3,119,118
126,3,118,117
127,3,117,116
128,3,116,115
129,3,115,114
130,3,114,113
131,3,113,112
132,3,112,111
133,3,111,110
134,3,110,109
135,3,109,108
136,3,108,107
137,3,107,106
138,3,106,105
139,3,105,104
140,3,104,103
141,3,299,298
142,3,298,297
143,3,297,296
144,3,296,295
145,3,295,294
146,3,294,293
147,3,293,292
148,3,292,291
149,3,291,290
150,3,290,289
151,3,289,288
152,3,288,287
153,3,287,286
154,3,286,285
155,3,285,284
156,3,284,283
157,3,283,282
158,3,282,281
159,3,281,280
160,3,280,279
161,3,279,278
162,3,278,277
163,3,277,276
164,3,276,275
165,3,275,274
166,3,274,273
167,3,273,272
168,3,272,271
169,3,271,270
170,3,270,269
171,3,269,268
172,3,268,267
173,3,267,266
174,3,266,265
175,3,265,264
176,3,264,263
177,3,263,262
178,3,262,261
179,3,261,260
180,3,260,259
181,3,259,258
182,3,258,257
183,3,257,256
184,3,256,255
185,3,255,254
186,3,254,253
187,3,253,252
188,3,252,251
189,3,251,250
190,3,250,249
191,3,249,248
192,3,248,247
193,3,247,246
194,3,246,245
195,3,245,244
196,3,244,243
197,3,243,242
198,3,242,241
199,3,241,240
200,3,240,239
201,3,239,238
202,3,238,237
203,3,237,236
204,3,236,235
205,3,235,234
206,3,234,233
207,3,183,182
208,3,182,181
209,3,181,180
210,3,180,179
211,3,179,178
212,3,178,177
213,3,177,176
214,3,176,175
215,3,175,174
216,3,233,232
217,3,232,231
218,3,231,230
219,3,230,229
220,3,229,228
221,3,228,227
222,3,227,226
223,3,226,225
224,3,225,224
225,3,224,223
226,3,223,222
227,3,222,221
228,3,221,220
229,3,220,219
230,3,219,218
231,3,218,217
232,3,217,216
233,3,216,215
234,3,215,214
235,3,214,213
236,3,213,212
237,3,212,211
238,3,211,210
239,3,210,209
240,3,209,208
241,3,208,207
242,3,207,206
243,3,206,205
244,3,205,204
245,3,204,203
246,3,203,202
247,3,202,201
248,3,201,200
249,3,200,199
250,3,199,198
251,3,198,197
252,3,197,196
253,3,196,195
254,3,195,194
255,3,194,193
256,3,193,192
257,3,192,191
258,3,191,190
259,3,190,189
260,3,189,188
261,3,188,187
262,3,187,186
263,3,186,185
264,3,185,184
265,3,184,183
266,3,4,3
267,3,3,2
268,3,2,1
269,3,1,0
270,3,33,32
271,3,32,31
272,3,31,30
273,3,30,29
274,3,29,28
275,3,28,27
276,3,27,26
277,3,26,25
278,3,25,24
279,3,24,23
280,3,23,22
281,3,22,21
282,3,21,20
283,3,20,19
284,3,19,18
285,3,18,17
286,3,17,16
287,3,16,15
288,3,15,14
289,3,14,13
290,3,13,12
291,3,12,11
292,3,11,10
293,3,10,9
294,3,9,8
295,3,8,7
296,3,7,6
297,3,6,5
298,3,5,4
299,3,0,331
300,3,331,330
301,3,330,329
302,3,329,328
303,3,328,327
304,3,327,326
305,3,326,325
306,3,325,324
307,3,324,323
308,3,323,322
309,3,322,321
310,3,321,320
311,3,320,319
312,3,319,318
313,3,318,317
314,3,317,316
315,3,316,315
316,3,315,314
317,3,314,313
318,3,313,312
319,3,312,311
320,3,311,310
321,3,310,309
322,3,309,308
323,3,308,307
324,3,307,306
325,3,306,305
326,3,305,304
327,3,304,303
328,3,303,302
329,3,302,301
330,3,301,300
331,3,300,299
